country_region,confirmed,deaths
US,6010,86
US,3870,93
US,2566,102
US,17250,294
US,3983,80
US,45183,792
US,3950,2384
US,6737,41
US,9877,168
US,17269,222
US,16781,206
US,3612,127
US,4371,84
US,17798,217
US,2393,81
US,17722,415
US,1913,51
US,38896,575
US,1907,59
US,3528,107
US,3352,54
US,9640,133
US,18673,297
US,46555,559
US,10432,205
US,3140,83
US,2953,40
US,3227,66
US,1047,42
US,2971,47
US,8658,77
US,13706,193
US,6512,129
US,1667,40
US,15513,193
US,15062,150
US,4157,63
US,3622,83
US,2148,51
US,6911,122
US,6748,133
US,89465,938
US,6841,112
US,5429,106
US,5154,90
US,6533,146
US,1793,34
US,44378,495
US,3529,64
US,3578,68
US,3795,76
US,2844,46
US,1323,36
US,50796,635
US,3196,44
US,3622,78
US,3128,47
US,4199,58
US,13517,172
US,2825,54
US,3016,61
US,4353,75
US,6302,105
US,3136,45
US,13408,175
US,16846,295
US,2962,34
US,28040,217
US,18838,235
US,8545,279
US,5761,150
US,2158,35
US,22462,419
US,6983,214
US,37612,497
US,804,36
US,4751,64
US,5619,97
US,40630,1634
US,4186,140
US,3723,72
US,7255,86
US,300627,4007
US,2814,66
US,74992,753
US,1353,48
US,134860,2676
US,39469,415
US,2548,50
US,11157,353
US,3718,70
US,5741,111
US,4858,109
US,5894,186
US,4501,108
US,6544,129
US,5998,168
US,2474,90
US,19662,425
US,19779,367
US,5823,155
US,2479,76
US,1635,43
US,7871,183
US,2785,77
US,49031,786
US,10438,356
US,27138,471
US,4994,103
US,2531,48
US,2085,71
US,53251,568
US,623,35
US,8501,147
US,1607,75
US,15713,181
US,1663,34
US,16752,282
US,695,37
US,11513,153
US,1291,37
US,3959,107
US,1679,67
US,9514,297
US,15717,408
US,3716,83
US,43738,788
US,15019,376
US,1911,55
US,46057,467
US,2166,44
US,1766,36
US,8917,66
US,38020,167
US,149164,857
US,7255,41
US,4045,36
US,30253,213
US,7415,101
US,2826,41
US,11754,134
US,2918,36
US,15231,254
US,5782,71
US,6343,99
US,2521,36
US,4467,85
US,2651,70
US,4010,56
US,27629,428
US,1705,61
US,4618,62
US,4382,135
US,669,42
US,76438,1076
US,4645,66
US,2192,48
US,10415,176
US,8026,155
US,4563,122
US,3135,68
US,4589,72
US,2419,47
US,27655,276
US,4298,47
US,2295,67
US,17566,256
US,805,36
US,1912,48
US,2033,57
US,3851,84
US,5530,80
US,9024,192
US,2145,34
US,45046,487
US,8227,143
US,8434,192
US,1533,46
US,2152,47
US,1824,54
US,1973,56
US,9914,117
US,2937,55
US,2850,45
US,3166,96
US,16879,220
US,6678,66
US,23418,264
US,12334,110
US,3937,64
US,5578,70
US,37164,574
US,8808,92
US,4202,48
US,12334,123
US,2014,34
US,2194,60
US,2791,61
US,2795,89
US,2110,61
US,4600,50
US,14900,342
US,4421,48
US,3436,77
US,1999,36
US,2562,40
US,4206,84
US,2866,46
US,5132,90
US,3086,41
US,7751,168
US,35126,289
US,7563,96
US,3658,62
US,46107,327
US,4833,54
US,5682,92
US,696,40
US,18339,324
US,2688,35
US,2166,46
US,3274,92
US,16190,225
US,4600,70
US,115913,1351
US,5003,64
US,23590,222
US,9165,94
US,7320,72
US,17915,193
US,6101,54
US,9531,60
US,1992,42
US,2395,41
US,12286,159
US,16719,167
US,2498,37
US,7552,93
US,4854,60
US,5182,84
US,9170,113
Ukraine,54773,1193
Ukraine,41479,1259
Ukraine,126577,3570
Ukraine,85538,1694
Ukraine,199077,4826
Ukraine,120744,2516
Ukraine,19183,709
Ukraine,131860,3377
Ukraine,65071,1702
Ukraine,136401,2686
Ukraine,73890,1632
Ukraine,14289,648
Ukraine,68927,1577
Ukraine,58639,1044
Ukraine,60566,1544
United Arab Emirates,537524,1615
United Kingdom,4286,94
Uruguay,222870,3171
West Bank and Gaza,302249,3378
Zambia,92112,1257
Albania,61705,1223
Algeria,101382,2792
Angola,17974,413
Armenia,161054,2901
Austria,374730,6568
Azerbaijan,222885,2845
Bahamas,7959,175
Bahrain,94633,353
Botswana,16050,48
Brazil,42478,821
Brazil,107279,2537
Brazil,69874,956
Brazil,208798,5546
Brazil,505918,9333
Brazil,256682,4337
